Profile (FG500),,,Details (FG500),,,,,,,,,,RE100,,,SBTi,,,,,,,,,,,,NZ Tracker Definition,,,,,,Carbon Neutral,,,,,,Net Zero,,,,,,,Use of carbon credits,,Other reduction targets,,,,,,Other,,,Binary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,2024 Data,Last year checks ,,,,,,this year  ,,,,,
466,#N/A,International Airlines Group,Airlines,Transportation and logistics,U.K.,Europe,"$34,513.9",$207.1,-0.072,"$23,254.3",38358,4,N,,,N,N,,,,,,,,,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","Simple target text:
""IAG was the first airline group in the world to commit to net zero emissions and has been publishing its latest roadmap to this goal every year since 2019.""
Archived source: https://web.archive.org/web/20250714144521/https://www.iairgroup.com/sustainability/roadmap-2050/

In-depth breakdown:
""IAG has a 20% reduction target for its net Scope 1 emissions by
2030 compared to 2019 levels and is working towards to net
zero emissions by 2050. Direct emissions associated with IAG‚Äôs
direct operations include emissions from jet fuel, diesel, petrol,
natural gas and halons. Sources of these emissions include
aircraft engines, boilers, auxiliary power units (APUs) and
ground vehicle engines. IAG‚Äôs target to reduce Scope 1
emissions includes reductions from the use of SAF in its gross
emissions calculation. The IAG Scope 1 net emission reduction
target equates to 21.6 million tCO2e by 2030, or 24.8 million
tCO2e in equivalent Scope 1 gross emissions.
Indirect emissions associated with electricity use in ground
facilities like offices, lounges, data centres and hangars
represent less than 1% of total IAG emissions, and, therefore,
IAG does not set a near-term target for the reduction of these
emissions. IAG monitors the use of renewable electricity across
its operations, and we are committed to net zero Scope 2
emissions by 2050.
In 2021 IAG was the first airline group worldwide to set a target
of net zero Scope 3 emissions by 2050. This was
complemented by a target of a 20% reduction in net Scope 3
emissions by 2030, compared to a 2019 baseline. These targets
will be delivered in collaboration with suppliers and other
stakeholders, by monitoring supplier sustainability performance,
engaging with suppliers on their sustainability plans,
embedding climate requirements into supplier contract clauses
and product specifications, and accounting for delivery of
existing supplier targets.""

Archived source: https://web.archive.org/web/20250710155507/https://www.iairgroup.com/media/ikcleuni/consolidated-non-financial-information-statement-and-sustainability-information-2024.pdf 
",2050,,,Yes,Yes (nature-based and CCS-based removals),Yes,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N,,Y,N,Yes,
255,283,Intesa Sanpaolo,Banks: Commercial and Savings,Financial services,Italy,Europe,"$55,844.1","$9,371.7",0.122,"$966,333.6",94736,27,N,,,Y,Y,Targets set,1.5°C ,2028,,,,N,Committed,,,Net zero,Net Zero,Yes,Yes,No,"1,2",,N,,,,,C,Y,"1,2","'Intesa Sanpaolo has chosen to pursue the ‚ÄúNet Zero‚Äù objective by 2050 for all its main business lines, including its own emissions, the lending and investment portfolios, the asset management and insurance divisions'. (p 27)",2050,,,Yes,Not Specified,No,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,N,Yes,C +  F,C,U,U,Y,Committed,Y,N,Yes,
205,189,Itau Unibanco Holding,Banks: Commercial and Savings,Financial services,Brazil,Latin America,"$66,620.1","$7,624.1",0.15,"$461,590.4",96219,12,N,,,N,N,,,,,,,,,,,Net zero,Net Zero,Yes,Yes,Not Specified,"1,2",,N,,,,,C,Y,"1,2","we launched our Net
Zero Commitment, to become a Scope 1, 2 and 3
carbon neutral bank by 2050 (Pg4).",2050,,,Yes,Yes (unspecified),Yes,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,N,0,I,V,Y,0,N,,Y,N,Yes,
109,107,Itochu,Trading,Financial services,Japan,Asia,"$96,587.7","$5,774.3",0.041,"$100,969.1",138129,31,N,,,N,N,,,,,,,,,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3",Achieve net zero GHG emissions by 2050.,2050,,,Yes,"Yes (CCS-based removals e.g. BECCS, DACCS)",No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,N,0,V,I,0,Y,N,,Y,N,Yes,
364,369,J. Sainsbury,Food & Drug Stores,Retail,Britain,Europe,"$42,261.3",$308.6,0.793,"$31,767",95000,31,N,,,Y,Y,Targets set,1.5°C ,2030,Targets set,1.5°C ,2050,Y,Targets set,2050,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","""Sainsburyâ€™s bold new targets are part of its work towards becoming net zero in its own operations by 2035, and in its value chain by 2050, in line with its commitment to the Paris Agreement of limiting global warming by 1.5Â°C.""; ""Our ambition to achieve net zero by 2050 will require transformation across our whole business, supply chains, as well as how we help our customers to make more informed choices.""",2050,,,Not Specified,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,N,0,"C, V",N,0,U,Y,Targets set,Y,N,Not Specified,
173,146,Japan Post Holdings,"Insurance: Life, Health (stock)",Financial services,Japan,Asia,"$75,230","$2,430.8",0.308,"$1,982,451.5",218718,29,N,,,Y,Y,Committed,,2030,,,,,,,,Carbon neutral(ity),Carbon Neutral,Yes,Yes,No,"1,2",C,Y,"""We are promoting climate change initiatives including GHG emission reductions, having the ultra-long-term target of achieving carbon neutrality by 2050 and the medium-term target for FY2030 as a milestone.""",2050,,,,N,,,,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,N,0,N,C,U,0,Y,,N,Y,Not Specified,
449,421,Jardine Matheson,Motor Vehicles & Parts,Automotive,China,Asia,"$35,775.5","$2,774.3",-0.036,"$100,273.6",48793,29,N,,,N,N,,,,,,,,,,,Net zero,Net Zero,Yes,Yes,No,"1,2",,N,,,,,C,Y,"1,2",We aim to achieve net-zero emissions by 2050. ,2050,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,N,0,V,N,0,U,N,,Y,N,Not Specified,
167,176,JBS,Food Production,"Food, beverages and agriculture",Netherlands,Europe,"$77,182.6","$1,766.9",0,"$40,685.4",281974,16,N,,,Y,N,Commitment removed,,,,,,N,Commitment removed,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","""Achieve net-zero greenhouse gas (GHG) emissions by 2040""  (JBS sustainability report 2023, p. 29) 
""Reach 100% renewable electricity across our operations by 2040"" (JBS sustainability report 2022, p. 39) (no update in 2023 sustainability report)

(JBS does not specify what share of its 2040 net-zero target will be based on emission reductions and what share will rely on offsetting.)

See also JBS (2025) Our Approach to Net Zero, JBS. Available at: https://web.archive.org/web/20250620083943/https://jbsfoodsgroup.com/our-purpose/net-zero

'We strive to achieve our goal to reduce the intensity of scope 3 emissions'",2040,,,Not Specified,Yes (unspecified),No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,N,No,V,N,0,Y,Y,Commitment removed,Y,N,Not Specified,
44,47,JD.com,Internet and Direct Marketing Retail,Retail,China,Asia,"$161,055.4","$5,748.2",0.684,"$95,657.7",570895,10,N,,,N,N,,,,,,,,,,,No target,No Target,Not Specified,Not Specified,Not Specified,,G,N,,,,,,N,,,,,,Not Specified,Not Specified,No,N,,,2024_jd.com_inc._environmental_social_and_governance_report.pdf,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,N,0,0,N,,N,N,Not Specified,
440,482,Jerónimo Martins,Food & Drug Stores,Retail,Portugal,Europe,"$36,176.2","$3,760.9",-0.088,"$31,339.3",361000,5,N,,,N,Y,Targets set,1.5°C,2033,Targets set,1.5Â°C,2050,Y,Targets set,2050,,Carbon neutral(ity),Carbon Neutral,Yes,Yes,Yes,"1,2,3","C,V",Y,"our ambition to reach carbon neutrality by 2050 in our own operations and in the value chain,

By 2045, reduce our scope 1 and 2 energy/industry emissions by 90% and make background emissions neutral, compared to 2021. â€¢ By 2050, reduce our scope 3 energy/industry emissions by 90% and make background emissions neutral, compared to 2021",2050,,,,N,,,,,,Yes,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,N,,,,,,,carbon-footprint-indicators-2024.pdf,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,N,Targets set,N,Y,Yes,
416,383,Jiangsu Shagang Group,Metals,Metals and mining,China,Asia,"$37,615.5",$196.9,-0.136,"$50,811.5",45661,17,N,,,N,N,,,,,,,,,,,No target,No Target,yes,yes,,"1,2",G,N,committed to national peak and neutrality targets,2060,https://www.cnfin.com/cmjj-lb/detail/20230110/3782912_1.html,,,N,,,,,,Not Specified,,,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,N,0,0,N,,N,N,Not Specified,
165,157,Jiangxi Copper,Metals,Metals and mining,China,Asia,"$77,667.6",$364.1,-0.019,"$34,230",32863,13,N,,,N,N,,,,,,,,,,,Carbon neutral(ity),Carbon Neutral,Not Specified,Not Specified,Not Specified,,,Y,"carbon peaking in 2030 , carbon neutrality in 2060",2060,,,,N,,,,,,Not Specified,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,G,U,0,N,,N,Y,Not Specified,
235,300,Jinchuan Group,Metals,Metals and mining,China,Asia,"$58,886","$1,440.7",0.06,"$30,119.5",31822,7,N,,,N,N,,,,,,,,,,,,,,,,,G,N,,2060,,,,N,,,,,,Not Specified,,,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,G,U,0,N,,N,N,Not Specified,
292,314,Jingye Group,Metals,Metals and mining,China,Asia,"$51,224.6",$320.1,0.286,"$14,093.9",40000,5,N,,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,,,Not Specified,,,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,G,0,0,N,,N,N,Not Specified,
289,213,Jinneng Holding Group,"Mining, Crude-Oil Production",Metals and mining,China,Asia,"$51,443.4",$-352.7,-1.355,"$148,694.4",423143,13,N,,,N,N,,,,,,,,,,,,,,,,,,N,,,,,,N,,,,,,Not Specified,,,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,N,0,0,N,,N,N,Not Specified,
131,115,Johnson & Johnson,Pharmaceuticals,Health care and pharmaceuticals,U.S.,North America,"$88,821","$14,066",-0.6,"$180,104",138100,25,Y,2015,2025,Y,Y,Targets set,1.5°C ,2030,,,,N,Commitment removed,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","""Current climate goals are:
‚Ä¢ By 2025, source 100% of our electricity needs from renewable sources
plus, ""with an ambition to achieve net-zero emissions across our value chain by 2045"" 
‚Ä¢ By 2028, 80% of our suppliers by emissions covering purchased goods and services and upstream transportation and distribution will have science-based targets"" (https://www.jnj.com/about-jnj/policies-and-positions/position-on-climate-action) 
(https://www.jnj.com/our-societal-impact/global-environmental-sustainability/our-approach-to-climate-action) ",2045,,,Yes,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,N,,,,Offsets with high-quality carbon credits 3,,,,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,Y,No,V,C,U,U,Y,Commitment removed,Y,N,Yes,
19,21,JPMorgan Chase,Megabanks,Financial services,U.S.,North America,"$278,906","$58,471",0.18,"$4,002,814",317233,31,N,,,N,N,,,,,,,,,,,Net zero,Net Zero,Yes,Yes,Partial,"1,2",,N,,,,,C,Y,"1,2",The goal of accelerating the low-carbon transition and encouraging near-term actions that set a path for global net-zero emissions by 2050. We are aligning key sectors of our financing portfolio with net-zero emissions by 2050.,2050,,,Yes,Yes (nature-based and CCS-based removals),Yes,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,N,0,C,C,Y,Y,N,,Y,N,Yes,
379,296,KB Financial Group,Banks: Commercial and Savings,Financial services,South Korea,Asia,"$41,086.5","$3,724",0.05,"$513,125.7",25839,13,Y,2021,2040,Y,Y,Targets set,1.5°C ,2025,,,,,,,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","KB Financial Group developed the ‚ÄúKB Net Zero S.T.A.R.‚Äù and ‚ÄúKB GREEN WAVE 2030‚Äù strategies to contribute to addressing the issues regarding climate change, and is striding forward to achieve the goals.
""KB Net Zero S.T.A.R. aims to achieve net-zero for operational emissions (Scope 1&2) and financed emissions (Scope 3). The target for operational emissions is to achieve a 42% reduction compared to the 2020 levels by 2030 and net-zero by 2040. For financed emissions, the goal is to reduce 33.3% of the emissions by 2030 and 61% by 2040 compared to the 2019 levels and achieve net-zero by 2050.""",2050,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,1,0,1,0,Y,No,"C, F",N,0,Y,Y,,Y,N,Not Specified,
400,379,KDDI,Telecommunications,Telecommunications and media,Japan,Asia,"$38,820.5","$4,497.9",0.019,"$112,590.7",64636,28,Y,2023,2050,Y,Y,Targets set,1.5°C ,2030,Targets set,1.5°C ,2040,Y,Targets set,2040,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","""we will continue promoting initiatives aimed at achieving net-zero CO2 emissions by 2050""
",2050,,,Yes,Not Specified,No,N,,,,,,,,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,Y,No,I,"C, V",Y,0,Y,Targets set,Y,N,Yes,
159,162,Kia,Motor Vehicles & Parts,Automotive,South Korea,Asia,"$78,795","$7,166.8",0.067,"$62,803.6",35741,14,Y,2022,2040,Y,Y,Committed,,2030,,,,,,,,Climate neutral,Carbon Neutral,Yes,Yes,Not Specified,"1,2",C,Y,"Kia aims to provide inspiring movement while reducing negative impacts on nature caused by movement.
In November 2021, Kia officially declared to achieve carbon neutrality by 2045. To this end, Kia plans to reduce
its carbon emissions by 97% compared to 2019 by 2045 and seek ways to offset the remaining amount, making
net emissions ""zero"" at all stages. This will be promoted with the goal of achieving the 3Ss: Sustainable Energy,
Sustainable Mobility, and Sustainable Planet (Pg. 15).",2045,,,,N,,,,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,N,0,V,I,0,0,Y,,N,Y,Not Specified,
191,194,Koc Holding,Energy,Energy and utilities,Turkey,Europe,"$70,543.2",$39.8,-0.987,"$110,532.5",130760,24,N,,,N,N,,,,,,,,,,,Carbon neutral(ity),Carbon Neutral,Yes,Yes,No,"1,2",C,Y,"In line with the net-zero by 2050 target of the European Green Deal, we are currently developing a Group-wide plan that will illustrate our pathway to become carbon neutral in 2050.
They would carry out the Carbon Transition Program in three main stages:
 ""The first stage consists of analyzing climate-related risks and opportunities and basing our action plans on the revealed output. Accordingly, we have taken one of our biggest steps in transitioning to a low-carbon economy by taking part in the ‚ÄòTask Force on Climate-related Financial Disclosures (TCFD),‚Äô a platform that brings together the world's leading organizations whose aim is to reach net-zero emissions. The second stage of our roadmap consists of setting the targets of Group companies in line with our commitment to become carbon neutral by 2050. The third and last stage of our roadmap consists of monitoring global and national climate policies and practices, especially the European Green Deal.
https://www.koc.com.tr/media-center/latest-news/2021/koc-holding-launches-carbon-transition-program",2050,,,,N,,,,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,N,0,N,C,U,0,N,,N,Y,Not Specified,
197,201,Korea Electric Power,Utilities,Energy and utilities,South Korea,Asia,"$67,890.1","$2,560.6",0,"$167,109.8",48440,31,N,,,N,N,,,,,,,,,,,Carbon neutral(ity),Carbon Neutral,Yes,Yes,Yes,"1,2,3","C,V",Y,"""Korea Electric Power Corporation and six subsidiary power generation corporations declared a vision of 'Zero for Green' for carbon neutrality on November 10, 2021.""(P.2, KEPCO CDP report 2022). ""Goals & Targets: By 2050 - Carbon neutrality, Zero for Green declaration"" (P.13, 2023 KEPCO & KEPCO Group Companies Sustainability Report)",2050,,,,N,,,,,,Yes,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)",No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,I,G,U,0,N,,N,Y,Yes,
53,51,Kroger,Food and Drugstores,Retail,U.S.,North America,"$147,123","$2,665",0.232,"$52,616",409000,31,N,,,Y,N,Commitment removed,,,,,,,,,,Emissions reduction target,Other Emission Reduction,Yes,Yes,Partial,"1,2",,N,,,,,,N,,,,,,Not Specified,Not Specified,No,Y,"""Kroger‚Äôs current goal is to reduce GHG emissions from our operations by 30% by 2030, from a 2018 baseline. The goal was developed using climate science, supporting a well-below 2¬∞C climate scenario according to the absolute contraction method."" (page 39)",2030,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,No,N,N,0,0,Y,,N,N,Not Specified,
421,409,La Poste,Delivery,Transportation and logistics,France,Europe,"$37,384","$1,524.8",1.744,"$794,638.6",226831,30,Y,2015,2020,Y,Y,Targets set,1.5°C ,2030,Targets set,1.5°C ,2040,Y,Targets set,2040,,,,,,,,,N,,,https://www.lapostegroupe.com/en/news/la-poste-groupe-publishes-its-2024-impact-report,,,N,,,,,,Not Specified,,,N,,,,,,,,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,Y,Yes,C,N,0,U,Y,Targets set,N,N,Not Specified,
315,312,Landesbank Baden-Wurttemberg,Banks: Commercial and Savings,Financial services,Germany,Europe,"$48,028.6",$943,-0.127,"$368,973.9",10777,18,N,,,N,N,,,,,,,,,,,,,Not Specified,Not Specified,Not Specified,,,N,,,,,C,Y,,,2050,lbbw-sustainable-transformation-our-path-to-net-zero_afevaknnhg_m.pdf,,Yes,,,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,N,0,V,C,U,U,N,,Y,N,Yes,
458,453,Lennar,Homebuilders,Engineering and construction,U.S.,North America,"$35,164.1",$316.5,-0.023,"$12,607.3",35505,5,N,,,N,N,,,,,,,,,,,No target,No Target,Not Specified,Not Specified,Not Specified,,,N,,,,,,N,,,,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,N,0,0,N,,N,N,Not Specified,
196,248,Lenovo Group,Computers,Technology,China,Asia,"$69,077","$1,384.5",0.37,"$44,230.8",72000,16,N,,,Y,Y,Targets set,1.5°C ,2030,Targets set,1.5°C ,2050,Y,Targets set,2050,,Net zero,Net Zero,Yes,Yes,Yes,"1,2,3",,N,,,,,"C,V",Y,"1,2,3","Net zero by 2050 across scopes 1,2,3, with a 90 percentage reduction across Scope 1, 2, and 3 emissions",2050,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,Y,Yes,V,N,0,Y,Y,Targets set,Y,N,Not Specified,
428,355,LG Chem,Chemicals,Chemicals,South Korea,Asia,"$37,021",$-506.6,-1.495,"$63,549.7",18750,6,N,,,Y,N,Commitment removed,,,,,,N,Commitment removed,,,Net zero,Net Zero,Yes,Yes,No,"1,2",,N,,,,,C,Y,"1,2",LG Chemical targets Net Zero in Scope 1 and 2 emissions by 2050. *There is no mention regarding Scope 3 emissions*,2050,,,Yes,Yes (unspecified),No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,N,No,C,C,U,Y,Y,Commitment removed,Y,N,Yes,
215,209,LG Electronics,Electronics,Technology,South Korea,Asia,"$64,333.5",$269.5,-0.506,"$44,436.8",75000,25,Y,2023,2050,Y,Y,Targets set,1.5°C ,2030,,,,,,,,Carbon neutral(ity),Carbon Neutral,Yes,Yes,Yes,"1,2,3","C,V",Y,We‚Äôve set ourselves the challenge of being ‚Äòcarbon neutral‚Äô by 2030.,2030,,,,N,,,,,,Yes,Not Specified,Yes,N,,,,,,,,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,Y,No,N,C,Y,0,Y,,N,Y,Yes,
300,280,Liberty Mutual Insurance Group,Insurance: Property and Casualty (Stock),Financial services,U.S.,North America,"$50,429","$4,383",19.578,"$166,695",40000,31,N,,,N,N,,,,,,,,,,,Emissions reduction target,Other Emission Reduction,Yes,Yes,No,"1,2",,N,,,,,,N,,,,,,Not Specified,Not Specified,No,Y,"The company has made an announcement saying they already achieved the commitment to reduce 50% of emissions of Scope 1 and 2 and are now working to reduce 65% by 2030.
https://www.libertymutualgroup.com/documents/signature-lm-esg-carbon-reduction.pdf",2030,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,N,0,0,N,,N,N,Not Specified,
95,95,Life Insurance Corp. of India,"Insurance: Life, Health (stock)",Financial services,India,Asia,"$104,970.8","$5,716.2",0.156,"$662,566.2",98661,4,N,,,N,N,,,,,,,,,,,No target,No Target,,,,,,N,,,https://nsearchives.nseindia.com/corporate/LIC_BOARD_22082023172744_Business_Responsibility_and_Sustainability_Report_2022,no usefull information,,N,,,,,,Not Specified,Not Specified,No,N,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,0,N,N,0,0,N,,N,N,Not Specified,
